id,rank,name,genre_id,genre_name,title,last_build_date,item_code,item_price,review_count,review_average,shop_code,shop_name
1,1,【送料無料】クリスタルガイザー(500mL*48本入)【クリスタルガイザー(Crystal Geyser)】[ミネラルウォーター 水 最安値挑戦中 激安]【RCP】,559887,水・ソフトドリンク,,,soukai:10161566,1680.0,39075,4.73,soukai,爽快ドラッグ
2,2,クリスタルガイザー ミネラルウォーター 500ml×48本(正規輸入品 エコポコボトル)シャスタ産[シャスタ水源 水 ケンコーコム ],559887,水・ソフトドリンク,,,,,,,,
3,4,ポイント10倍送料無料約200杯分入！怒涛の珈琲豆セット(2セットでお菓子付)[G500×4]【RCP】コーヒー・コーヒー豆セット　最高級のコーヒーです。/グルメコーヒー豆専門加藤珈琲店【RCP】,502129,水・ソフトドリンク,,,gourmetcoffee:10001806,1999.0,20311,4.6,gourmetcoffee,グルメコーヒー豆専門！加藤珈琲店
4,3,クリスタルガイザー(500mL*48本入*2コセット)【クリスタルガイザー(Crystal Geyser)】[ミネラルウォーター 水 激安]【送料無料】【RCP】,559887,水・ソフトドリンク,,,soukai:10208941,3180.0,6290,4.74,soukai,爽快ドラッグ
5,5,クリスタルガイザー（500mL×48本）【送料無料】（CRYSTAL GEYSER・海外名水・お水 ドリンク水・ミネラルウォータークリスタルガイザー 500ml　クリスタルガイザー）【D】 【マラソン201310_最安値挑戦】 【1129dr_co】【RCP】,201363,水・ソフトドリンク,,,,,,,,
6,5,ポイント10倍　【澤井珈琲】送料無料　最高級プレミアムブルマンブレンドどっさり150杯分！,502129,水・ソフトドリンク,,,sawaicoffee-tea:10001599,2999.0,7649,4.69,sawaicoffee-tea,澤井珈琲Beans＆Leaf
7,8,ポイント10倍　【澤井珈琲】1分で出来る コーヒー専門店のドリップバッグ福袋　グルメ大賞2012受賞福袋,506539,水・ソフトドリンク,,,sawaicoffee-tea:10000015,2999.0,23699,4.68,sawaicoffee-tea,澤井珈琲Beans＆Leaf
8,7,しゃちブレンド・プレミアムブレンド珈琲2kg入セット(鯱×4)【RCP】,204914,水・ソフトドリンク,,,gourmetcoffee:10004120,2999.0,486,4.7,gourmetcoffee,グルメコーヒー豆専門！加藤珈琲店
9,9,お茶屋さんが選んだ水 天然水 2L×12本,506532,水・ソフトドリンク,,,cocodecow:10058666,1078.0,2774,4.64,cocodecow,ココデカウ
10,11,クリスタルガイザー（500mL×48本入り）【送料無料】【CRYSTAL GEYSER】【D】（飲料水海外名水ミネラルウォーターお水ドリンク水500ml 48本入り 24本入り×2ケースセット）【RCP】【1129dr_co】,559887,水・ソフトドリンク,,,kurashikenkou:10017081,1580.0,6850,4.56,kurashikenkou,暮らし健康ネット館
11,13,★楽天ランキング1位★母乳不足対策ハーブティー【AMOMA ミルクアップブレンド】30ティーバッグ【2袋で送料無料】関連ワード: 母乳 ハーブティー 授乳期 相談室 母乳不足 母乳育児 安産 ママ ハーブ お茶 ノンカフェイン 粉ミルク 完母 飲み物,201447,水・ソフトドリンク,,,amoma:10000029,1995.0,4282,4.15,amoma,AMOMA natural care
12,14,【澤井珈琲】　ポイント10倍　送料無料！コーヒー専門店の200杯分入り超大入コーヒー福袋（コーヒー/コーヒー豆/珈琲豆）【最安値チャレンジ1201-3】【smtb-t】【YDKG-t】,201405,水・ソフトドリンク,,,sawaicoffee-tea:10001136,1999.0,14418,4.68,sawaicoffee-tea,澤井珈琲Beans＆Leaf
13,13,【送料無料】コントレックス1.5L 12本【販売：楽天24】【HLS_DU】【楽ギフ_包装選択】,,,,,,,,,,
14,20,(年末セール)『送料無料！』（北海道・沖縄・離島は除く）サントリー 緑茶 伊右衛門 特茶 500mlペットボトル（24本入り1ケース）イエモン 特定保健用食品 特保 トクホ,559948,水・ソフトドリンク,,,aburajin:10006227,3648.0,4,5.0,aburajin,あぶらじん楽天市場店
15,6,【澤井珈琲】　送料無料　ポイント10倍　超赤字価格　32周年記念マイルドブレンド100杯分福袋,201410,水・ソフトドリンク,,,sawaicoffee-tea:10001707,1000.0,1164,4.63,sawaicoffee-tea,澤井珈琲Beans＆Leaf
16,19,【あす楽対応】【22日9：59まで！3ケースご購入　エントリー＆レビューで500ポイントプレゼント】【地域限定送料無料】【放射能検査済】2L 水 【日時指定OK】熊野古道水　2リットル12本 非常災害備蓄用 天然水 ミネラルウォーター【HLS_DU】最安値挑戦中　最安【RCP】,506534,水・ソフトドリンク,,,childhoodpepit:10003105,1280.0,2640,4.71,childhoodpepit,ちゃいるどふっどぷち
17,26,【2ケースで送料無料】ウィルキンソン タンサン（500ml×24本入）【アサヒ】【炭酸水】【常温】【ドリンク】【RCP】,506538,水・ソフトドリンク,,,kamenosuke:10015881,1776.0,1072,4.79,kamenosuke,亀のすけ
18,18,年に一度のクリスマス福袋2013　（コーヒー、コーヒー豆、珈琲、珈琲豆）,502129,水・ソフトドリンク,,,,,,,,
19,17,炭酸水 500ml×24本 KUOS-クオス炭酸 水 九州産 天然湧水使用 天然水 国産 軟水 スパークリングウォーター　ペットボトル プレーン 保存料なし 炭酸飲料 カロリーゼロ 1ケースから全国一律送料無料【02P13Dec13】,302963,水・ソフトドリンク,,,otogino:10042289,1650.0,7385,4.55,otogino,おとぎの国
20,12,クリスタルガイザー　1ケース（500ml×48本）【送料無料】,559887,水・ソフトドリンク,,,mrmax:10065281,1584.0,1266,4.63,mrmax,MrMax
21,18,コントレックス(1.5L*12本入*2コセット)【コントレックス(CONTREX)】[ミネラルウォーター 水 激安]【送料無料】【RCP】,408228,水・ソフトドリンク,,,soukai:10208940,2980.0,1221,4.69,soukai,爽快ドラッグ
